district_code,attendance,absences,absent_10_plus,chronically_absent_10_plus,unexcused_9,college_pct,in_school_susp,out_school_susp,expulsion,alternate_setting,emergency_removal,stud_african_american_pct,stud_asian_pct,stud_hispanic_pct,stud_white_pct,stud_amerind_pct,stud_pacisl_pct,stud_multi_pct,teach_exemplary_pct,teach_proficient_pct,teach_ni_pct,teach_unsat_pct,grad_pct,m_e_pct_ela,score_ela,m_e_pct_math,score_math,ppe,retained_pct,salary,sat_verbal,sat_math,classes,class_size,enrollment,female_pct,male_pct,ell_pct,disability_pct,low_income_pct,teach_african_american_pct,teach_asian_pct,teach_hispanic_pct,teach_white_pct,teach_amerind_pct,teach_pacisl_pct,teach_multi_pct,teach_female_pct,teach_male_pct,teach_licensed_pct,stratio,students,students_disciplined,pct_one_day,pct_two_days,pct_4_days,pct_8_days,pct_10_days,type,median_income
2660000,96,7,24,6,5,87,1,1,0,0,0,5,29,5,56,0,0,5,17,81,3,0,97,73,513,76,515,16253,90,77828,619,636,1666,18,3570,48,52,4,13,7,2,2,0,95,0,0,0,83,17,99,14,3607,      57,1,0,0,0,0,District,59241
8710000,96,7,24,7,0,59,6,1,0,0,0,1,1,5,91,0,0,2,11,89,0,0,99,,,,,21998,95,88878,526,517,843,17,1327,42,58,0,21,14,0,1,2,97,0,1,0,62,38,99,10,1328,      90,3,3,1,0,0,Vocational Technical,
2690000,97,6,22,3,22,,,,,,,2,8,4,80,0,0,7,10,83,4,2,,76,514,80,512,18469,97,101337,,,187,19,428,48,52,2,15,5,2,0,1,96,0,0,1,94,6,100,13,434,       1,,,,,,District,
2710000,95,9,38,11,0,85,1,1,0,0,0,3,32,8,53,0,0,4,9,89,2,0,95,73,513,70,510,13335,91,77223,595,612,2546,21,6251,50,50,4,14,10,0,2,2,95,0,0,1,87,13,100,15,6420,     113,0,1,0,0,0,District,43454
2720000,95,9,39,13,0,,,,,,,2,1,9,83,1,0,6,14,86,0,0,,70,510,58,503,21024,82,53923,,,60,14,125,56,44,0,17,32,0,3,3,92,0,0,3,91,9,100,8,128,       0,,,,,,District,
4770000,96,7,28,6,22,,0,2,0,0,0,,,,,,,,14,81,2,2,,44,499,49,499,,,,,,226,22,553,51,50,7,17,28,,,,,,,,,,,,569,      11,2,0,0,0,0,Charter,
7600000,95,8,32,10,7,74,0,7,0,0,0,2,1,2,95,0,0,1,16,83,1,0,96,61,506,63,505,15061,93,86709,580,582,785,19,1876,48,52,0,16,16,0,0,0,100,0,0,0,72,29,99,13,1907,     124,2,2,2,1,0,District,
4740000,93,11,45,23,13,61,3,8,0,0,0,6,1,24,67,0,0,2,,,,,70,47,500,23,485,,62,,531,496,229,13,360,49,51,1,24,32,2,1,6,91,0,0,0,78,23,85,9,379,      36,1,3,3,1,1,Charter,
2730000,96,8,27,7,13,,1,1,0,0,0,1,1,4,91,0,0,2,6,93,1,0,,54,502,50,499,13833,89,73544,,,911,22,1824,48,52,1,17,22,0,0,0,100,0,0,0,89,11,100,13,1850,      39,1,1,1,0,0,District,
7630000,94,10,35,12,11,83,0,6,0,0,0,1,1,4,93,0,0,1,2,97,1,0,95,,,,,15504,90,67483,562,574,536,16,1012,51,49,0,10,14,0,1,2,98,0,0,0,64,36,99,13,1016,      59,2,2,1,1,1,District,
2740000,94,10,35,15,31,66,2,2,0,0,0,10,7,41,38,0,0,4,28,70,3,0,84,49,499,45,496,19400,87,75703,543,537,2056,15,4873,47,53,21,20,41,5,2,11,81,0,0,1,79,21,98,12,5103,     202,1,2,1,0,0,District,38820
2780000,95,9,33,13,3,72,2,2,0,0,0,2,2,14,80,0,0,2,8,90,2,0,92,49,500,45,497,14321,92,74979,568,593,673,16,1934,51,50,4,16,25,0,1,1,98,0,0,0,78,22,100,13,1984,      74,1,1,1,0,0,District,27089
